movie_id,actor_name,character,cast_order
162,Dianne Wiest,Peg,2
162,Anthony Michael Hall,Jim,3
162,Kathy Baker,Joyce,4
162,Robert Oliveri,Kevin,5
162,Conchata Ferrell,Helen,6
162,Caroline Aaron,Marge,7
162,Dick Anthony Williams,Officer Allen,8
162,O-Lan Jones,Esmeralda,9
162,Vincent Price,The Inventor,10
173,Kirk Douglas,Ned Land,0
173,James Mason,Captain Nemo,1
173,Paul Lukas,Prof. Pierre Arronax,2
173,Peter Lorre,Conseil,3
173,Robert J. Wilke,First Mate of the Nautilus,4
173,Ted de Corsia,Capt. Farragut,5
173,Carleton Young,John Howard,6
173,J.M. Kerrigan,Billy,7
173,Percy Helton,Coach Driver,8
173,Gloria Pall,Blonde Girlfriend (uncredited),9
173,Ron Nyman,Sailor (uncredited),10
244,Robert Armstrong,Carl Denham,0
244,Fay Wray,Ann Darrow,1
244,Bruce Cabot,Jack Driscoll,2
244,Frank Reicher,Captain Englehorn,3
244,Victor Wong,Ship's Cook Charlie,4
244,James Flavin,Mate Briggs,5
244,Sam Hardy,Charles Weston,6
244,Noble Johnson,Skull Island Native Chief,7
244,Steve Clemente,Skull Island Witch Doctor,8
244,Roscoe Ates,Press Photographer (uncredited),9
244,Merian C. Cooper,Pilot of Plane that Kills Kong (uncredited),10
251,Patrick Swayze,Sam Wheat,0
251,Demi Moore,Molly Jensen,1
251,Whoopi Goldberg,Oda Mae Brown,2
251,Tony Goldwyn,Carl Bruner,3
251,Vincent Schiavelli,Subway Ghost,4
251,Rick Aviles,Willie Lopez,5
251,Martina Deignan,Rose,6
251,Rick Kleber,Mover,7
251,Phil Leeds,Emergency Room Ghost,8
251,Armelia McQueen,Oda Mae's Sister,9
251,Gail Boggs,Oda Mae's Sister,10
252,Gene Wilder,Willy Wonka,0
252,Jack Albertson,Grandpa Joe,1
252,Peter Ostrum,Charlie Bucket,2
252,Roy Kinnear,Mr. Salt,3
252,Julie Dawn Cole,Veruca Salt,4
252,Leonard Stone,Mr. Beauregarde,5
252,Denise Nickerson,Violet Beauregarde,6
252,Nora Denney,Mrs. Teevee,7
252,Paris Themmen,Mike Teevee,8
252,Ursula Reit,Mrs. Gloop,9
252,Michael Böllner,Augustus Gloop,10
268,Michael Keaton,Bruce Wayne / Batman,0
268,Jack Nicholson,Jack Napier / The Joker,1
268,Kim Basinger,Vicki Vale,2
268,Robert Wuhl,Alexander Knox,3
268,Pat Hingle,Commissioner James Gordon,4
268,Billy Dee Williams,Harvey Dent,5
268,Michael Gough,Alfred Pennyworth,6
268,Jack Palance,Grissom,7
268,Jerry Hall,Alicia,8
268,Tracey Walter,Bob the Goon,9
268,Lee Wallace,Mayor,10
277,Kate Beckinsale,Selene,0
277,Scott Speedman,Michael Corvin,1
277,Michael Sheen,Lucian,2
277,Shane Brolly,Kraven,3
277,Bill Nighy,Viktor,4
277,Erwin Leder,Singe,5
277,Sophia Myles,Erika,6
277,Robbie Gee,Kahn,7
277,Wentworth Miller,Dr. Adam Lockwood,8
277,Kevin Grevioux,Raze,9
277,Zita Görög,Amelia,10
285,Johnny Depp,Jack Sparrow,0
285,Geoffrey Rush,Barbossa,1
285,Orlando Bloom,Will Turner,2
285,Keira Knightley,Elizabeth Swann,3
285,Jack Davenport,Norrington,4
285,Bill Nighy,Davy Jones,5
285,Jonathan Pryce,Governor Weatherby Swann,6
285,Lee Arenberg,Pintel,7
285,Mackenzie Crook,Ragetti,8
285,Kevin McNally,Gibbs,9
285,David Bailie,Cotton,10
297,Brad Pitt,Joe Black / Young Man in Coffee Shop,0
297,Anthony Hopkins,William Parrish,1
297,Claire Forlani,Susan Parrish,2
297,Jake Weber,Drew,3
297,Marcia Gay Harden,Allison,4
297,Jeffrey Tambor,Quince,5
297,David S. Howard,Eddie Sloane,6
297,Lois Kelly-Miller,Jamaican Woman,7
297,Jahnni St. John,Jamaican Woman's Daughter,8
297,Richard Clarke,Butler,9
297,Marylouise Burke,Lillian,10
300,Gael García Bernal,Stéphane,0
300,Charlotte Gainsbourg,Stéphanie,1
300,Miou-Miou,Christine Miroux,2
300,Alain Chabat,Guy,3
300,Emma de Caunes,Zoé,4
300,Aurélia Petit,Martine,5
300,Sacha Bourdo,Serge,6
300,Pierre Vaneck,Mr. Pouchet,7
300,Stéphane Metzger,Sylvain,8
300,Alain de Moyencourt,Gérard,9
300,Inigo Lezzi,M. Persinnet,10
310,Jim Carrey,Bruce Nolan,0
310,Morgan Freeman,God,1
310,Jennifer Aniston,Grace Connelly,2
310,Philip Baker Hall,Jack Baylor,3
310,Catherine Bell,Susan Ortega,4
310,Lisa Ann Walter,Debbie,5
310,Steve Carell,Evan Baxter,6
310,Nora Dunn,Ally Loman,7
310,Eddie Jemison,Bobby,8
310,Paul Satterfield,Dallas Coleman,9
310,Mark Kiely,Fred Donohue,10
364,Michael Keaton,Bruce Wayne / Batman,0
364,Danny DeVito,Oswald Cobblepot / The Penguin,1
364,Michelle Pfeiffer,Selina Kyle / Catwoman,2
364,Christopher Walken,Max Shreck,3
364,Michael Gough,Alfred Pennyworth,4
364,Pat Hingle,Commissioner James Gordon,5
364,Michael Murphy,Mayor,6
364,Vincent Schiavelli,Organ Grinder,7
364,Andrew Bryniarski,Charles 'Chip' Shreck,8
364,Cristi Conaway,Ice Princess,9
364,Steve Witting,Josh,10
408,Adriana Caselotti,Snow White (voice) (uncredited),0
408,Lucille La Verne,Queen / Witch (voice) (uncredited),1
408,Harry Stockwell,Prince (voice) (uncredited),2
408,Roy Atwell,Doc (voice) (uncredited),3
408,Pinto Colvig,Sleepy / Grumpy / Dopey (hiccups) (voice) (uncredited),4
408,Otis Harlan,Happy (voice) (uncredited),5
408,Scotty Mattraw,Bashful (voice) (uncredited),6
408,Billy Gilbert,Sneezy (voice) (uncredited),7
408,Eddie Collins,Dopey / Chipmunk and Squirrel Sneezes (voice) (uncredited),8
408,Moroni Olsen,Magic Mirror (voice) (uncredited),9
408,Marion Darlington,Birds (voice) (uncredited),10
411,William Moseley,Peter Pevensie,0
411,Anna Popplewell,Susan Pevensie,1
411,Skandar Keynes,Edmund Pevensie,2
411,Georgie Henley,Lucy Pevensie,3
411,Liam Neeson,Aslan (voice),4
411,Tilda Swinton,White Witch,5
411,James McAvoy,Mr. Tumnus,6
411,Jim Broadbent,Prof. Digory Kirke,7
411,Ray Winstone,Mr. Beaver (voice),8
411,Dawn French,Mrs. Beaver (voice),9
411,James Cosmo,Father Christmas,10
414,Val Kilmer,Bruce Wayne / Batman,0
414,Tommy Lee Jones,Harvey Dent / Two-Face,1
414,Jim Carrey,Edward Nygma / The Riddler,2
414,Nicole Kidman,Dr. Chase Meridian,3
414,Chris O'Donnell,Dick Grayson / Robin,4
414,Michael Gough,Alfred Pennyworth,5
414,Pat Hingle,Commissioner James Gordon,6
414,Drew Barrymore,Sugar,7
414,Debi Mazar,Spice,8
414,René Auberjonois,Dr. Burton,9
414,Joe Grifasi,Bank Guard,10
433,Julie Andrews,Mary Poppins,0
433,Dick Van Dyke,Bert / Mr. Dawes Sr.,1
433,David Tomlinson,Mr. Banks,2
433,Glynis Johns,Mrs. Banks,3
433,Hermione Baddeley,Ellen,4
