movie_id,genre_name
381289,Family
381289,Drama
137,Romance
137,Fantasy
137,Comedy
14784,Adventure
14784,Fantasy
14784,Drama
20123,Drama
20123,Comedy
20123,Crime
20123,Fantasy
19101,Drama
19101,Family
19101,Fantasy
309809,Adventure
309809,Animation
309809,Fantasy
309809,Family
9444,Animation
9444,Family
9444,Fantasy
9444,Adventure
4922,Drama
4922,Fantasy
4922,Romance
496450,Animation
496450,Fantasy
496450,Action
496450,Romance
496450,Family
244,Adventure
244,Fantasy
244,Horror
841755,Animation
841755,Action
841755,Fantasy
502356,Family
502356,Comedy
502356,Adventure
502356,Fantasy
502356,Animation
3933,Romance
3933,Fantasy
3933,Animation
630,Adventure
630,Fantasy
630,Family
27040,Fantasy
976573,Animation
976573,Family
976573,Romance
976573,Fantasy
976573,Comedy
57158,Fantasy
57158,Adventure
57158,Action
568124,Animation
568124,Comedy
568124,Family
568124,Fantasy
221731,Action
221731,Adventure
221731,Drama
221731,Fantasy
39323,Animation
39323,Action
39323,Sci-Fi
39323,Drama
39323,Fantasy
9016,Sci-Fi
9016,Adventure
9016,Animation
9016,Family
9016,Fantasy
11688,Adventure
11688,Animation
11688,Comedy
11688,Family
11688,Fantasy
514754,Animation
514754,Family
514754,Fantasy
514754,Drama
514754,Comedy
765,Horror
765,Comedy
765,Fantasy
433,Comedy
433,Family
433,Fantasy
433471,Family
433471,Fantasy
433471,Animation
433471,Comedy
856,Fantasy
856,Animation
856,Comedy
856,Crime
556901,Action
556901,Animation
556901,Comedy
556901,Family
556901,Fantasy
556901,Sci-Fi
507569,Action
507569,Adventure
507569,Fantasy
507569,Animation
228326,Animation
228326,Adventure
228326,Comedy
228326,Family
228326,Fantasy
127533,Adventure
127533,Action
127533,Fantasy
73456,Family
73456,Animation
73456,Fantasy
16633,Drama
16633,Fantasy
16633,Romance
9495,Fantasy
9495,Action
9495,Thriller
59436,Fantasy
59436,Comedy
59436,Romance
601,Sci-Fi
601,Adventure
601,Family
601,Fantasy
648,Drama
648,Fantasy
648,Romance
566525,Action
566525,Adventure
566525,Fantasy
620,Comedy
620,Fantasy
176983,Animation
176983,Fantasy
176983,Action
176983,Adventure
1600,Drama
1600,Fantasy
586940,Animation
586940,Drama
586940,Fantasy
11970,Animation
11970,Family
11970,Fantasy
11970,Adventure
11970,Comedy
11970,Romance
9470,Action
9470,Comedy
9470,Crime
9470,Fantasy
252,Family
252,Fantasy
252,Comedy
599521,Fantasy
599521,Romance
503919,Drama
503919,Fantasy
503919,Thriller
9081,Animation
9081,Drama
9081,Fantasy
877703,Action
877703,Fantasy
251516,Action
251516,Comedy
251516,Sci-Fi
251516,Fantasy
13189,Drama
13189,Fantasy
13189,Family
293863,Romance
293863,Fantasy
293863,Drama
27327,Comedy
27327,Horror
27327,Fantasy
347201,Adventure
347201,Action
347201,Animation
347201,Comedy
347201,Fantasy
529216,Thriller
529216,Drama
529216,Fantasy
42994,Fantasy
42994,Animation
42994,Sci-Fi
431580,Family
431580,Animation
431580,Adventure
431580,Comedy
431580,Fantasy
11704,Family
11704,Animation
11704,Fantasy
11704,Adventure
11704,Drama
11704,Sci-Fi
350312,Action
350312,Adventure
350312,Fantasy
337703,Animation
337703,Drama
337703,Fantasy
337703,Family
529203,Animation
529203,Family
529203,Adventure
529203,Fantasy
529203,Comedy
36685,Comedy
36685,Sci-Fi
36685,Fantasy
36685,Horror
10437,Comedy
10437,Family
10437,Fantasy
10437,Drama
666243,Animation
666243,Action
666243,Fantasy
11236,Drama
11236,Family
11236,Fantasy
137106,Animation
137106,Family
