movie_id,actor_name,character,cast_order
122,Peter Jackson,Corsair Bosun (uncredited),61
122,Sandro Kopp,Coronation Elf (uncredited),62
122,Andrew Lesnie,Corsair of Umbar (uncredited),63
122,Joseph Mika-Hunt,Orc (uncredited),64
122,Henry Mortensen,Pelennor Orc (uncredited),65
122,Craig Parker,Gothmog / Orc Lieutenant 1 (voice) (uncredited),66
122,Rick Porras,Corsair of Umbar / Beacon Guard (uncredited),67
122,Christian Rivers,Corsair of Umbar / Beacon Guard (uncredited),68
122,Michael Semanick,Drinking Rohan Soldier (uncredited),69
122,Howard Shore,Drinking Rohan Soldier (uncredited),70
122,John Stephenson,Witchking (voice) (uncredited),71
122,Richard Taylor,Corsair of Umbar (uncredited),72
122,Royd Tolkien,Gondorian Ranger (uncredited),73
122,Sam Kelly,Coronation Elf/Gondorian Soldier (uncredited),74
