movie_id,company_id,name,origin_country,logo_path
618344,429,DC,US,/4Y00XuSMuP1gimd0jP6JT57QbCI.png
315162,521,DreamWorks Animation,US,/3BPX5VGBov8SDqTV7wC1L1xShAS.png
635302,5887,ufotable,JP,/m6FEqz8rQECnmfjEwjNhNAlmhCJ.png
635302,2883,Aniplex,JP,/rDYExnBV61jGQnkhVVrPN4Yl7O1.png
635302,2918,Shueisha,JP,/gyEWUBWwqrm3H5T2hkERD9LxpOq.png
635302,882,TOHO,JP,/fRSWWjquvzcHjACbtF53utZFIll.png
441130,23948,Cartoon Saloon,IE,/uneZYGxTZcwAzmPTTaefmDNWPzN.png
441130,13351,Melusine Productions,LU,/3cHYz3iUqBAnQfPh8LQnEaWSh1w.png
441130,726,Haut et Court,FR,/hHaQQgxqg2NohqZSxbMTB9E483m.png
441130,104,Canal+,FR,/9aotxauvc9685tq9pTcRJszuT06.png
441130,1923,RTÉ,IE,/ilgktofJY7OsURHfccJrug4GKdQ.png
441130,11620,OCS,FR,/f3hRdCaK1w9qH1Qs8nLd2L2bae1.png
441130,89705,Folivari,FR,/9lUhHbMr32wzkDgaOMNrzIu66YC.png
441130,32853,GKIDS,US,/y1CUzdA8WOdKzikxTYL4xqCDlqF.png
441130,277086,Value & Power Culture Communications,CN,
441130,1898,Fís Éireann/Screen Ireland,IE,/8ix6SGlJiyuUDxLBtY8E0PY2G7w.png
537061,7899,Cartoon Network Studios,US,/qnhd98hnBxCMMMod58FJqbCZ5O7.png
537061,274991,Cartoon Network Movies,US,/tJUFfVUpKgU48FJ57T8bF8Kzuwr.png
490,6181,SF Studios,SE,/gYyww91VI1jdH89xpZgFFc8zN3F.png
476292,20867,P.A.WORKS,JP,/8xKcaZSIRdsR616LQ7nMptjkUvg.png
476292,528,Bandai Visual,JP,/fO3Aof3lXQclYpBByYC8aneTXwA.png
476292,142186,Hakuhodo DY Music & Pictures,JP,/bdXTOuU7PdsDtQngyM7vb47zePs.png
476292,6683,Lantis,JP,/reCkuk3GEomdx5gQpsm15Zl1sgX.png
476292,181190,Cygames,JP,/6O8z7druYj7fXanaIE2f2OVRI9E.png
476292,244119,Rakuonsha,JP,
592350,2849,BONES,JP,/cN3JNIKawjOMtfk0GBVIbsx69bg.png
592350,1778,dentsu,JP,/b5rT6VbYza3LyfltCmz1OcqzWJM.png
592350,3466,movic,JP,/lmCg0zarmM52wrmsZRUY0QlPKLh.png
592350,6755,Nippon Television Network Corporation,JP,/bWiM2iY82B32NGmPCOFatgfekIR.png
592350,2918,Shueisha,JP,/gyEWUBWwqrm3H5T2hkERD9LxpOq.png
592350,648,Sony Music Entertainment (Japan),JP,/s811As3dkcqSgl4nEWEVYfJVVxh.png
592350,11727,Yomiuri Telecasting Corporation,JP,/cIMyE9cw1W4kMFGxmC17HKTnVz9.png
592350,882,TOHO,JP,/fRSWWjquvzcHjACbtF53utZFIll.png
980477,167789,Chengdu Coco Cartoon,CN,
980477,17818,Beijing Enlight Pictures,CN,/tqImejhMUsOuuKCX2cySzaO7QTj.png
980477,161769,Beijing Enlight Media,CN,
980477,273292,Chengdu Zizai Jingjie Culture Media,CN,
980477,273293,Beijing Coloroom Technology,CN,
810693,21444,MAPPA,JP,/wSejGn3lAZdQ5muByxvzigwyDY6.png
810693,2918,Shueisha,JP,/gyEWUBWwqrm3H5T2hkERD9LxpOq.png
810693,158200,Sumzap,JP,/rf4ZArxPuqx5hdeU7rPIU8IQlYx.png
810693,3363,MBS,JP,/sj3vD7n63bTCih7bcf6GnWvRf1Q.png
810693,882,TOHO,JP,/fRSWWjquvzcHjACbtF53utZFIll.png
149871,10342,Studio Ghibli,JP,/uFuxPEZRUcBTEiYIxjHJq62Vr77.png
149871,11846,Hakuhodo DY Media Partners,JP,/es3LvDA6wLWVDvZnAYYuAT6x8lJ.png
149871,11848,KDDI,JP,/A3abKfh7dXwPdXJc3A551q8XnOC.png
149871,20191,Mitsubishi Shoji,,
149871,6755,Nippon Television Network Corporation,JP,/bWiM2iY82B32NGmPCOFatgfekIR.png
149871,882,TOHO,JP,/fRSWWjquvzcHjACbtF53utZFIll.png
149871,28086,T2 Studio,,
508442,3,Pixar,US,/1TjvGVDMYsj6JBxOAkUHpPEwLf7.png
791373,174,Warner Bros. Pictures,US,/zhD3hhtKB5qyv7ZeL4uLpNxgMVU.png
791373,114152,The Stone Quarry,US,/xYfrnGFXxrEy5x5OVThunxHYScK.png
791373,507,Atlas Entertainment,US,/aRmHe6GWxYMRCQljF75rn2B9Gv8.png
791373,103376,Access Entertainment,US,/zAyfGEx1LJOkwNTrHugnWHzLRE.png
791373,444,Dune Entertainment,US,
791373,128064,DC Films,US,/13F3Jf7EFAcREU0xzZqJnVnyGXu.png
823219,153335,Dream Well Studio,LV,/bEsO7l12cRGAY25Uqt1a66Ife1U.png
823219,12433,Sacrebleu Productions,FR,/sKu7Gr83ie8w6waDwYNHMBEaSah.png
823219,101516,Take Five,BE,/q7ynwvgbkht96N8qPFexUW3QFeR.png
823219,94,ARTE France Cinéma,FR,/huC7HqorvUThGIrENrbcHmQVUA0.png
823219,792,RTBF,BE,/cRhBQP1FFNugNxKkO1pUgeD2Rkr.png
664767,2785,Warner Bros. Animation,US,/l5zW8jjmQOCx2dFmvnmbYmqoBmL.png
12445,174,Warner Bros. Pictures,US,/zhD3hhtKB5qyv7ZeL4uLpNxgMVU.png
12445,437,Heyday Films,GB,/nu20mtwbEIhUNnQ5NXVhHsNknZj.png
610892,5438,Kyoto Animation,JP,/leZ8GPCL0GneHHayPVnXtB3p0We.png
610892,9148,Pony Canyon,JP,/rtW3NadfF4kR5mTW00ahiFxw6k7.png
610892,86839,ABC Animation,JP,/cnOJAkVVmKZLIzmgw4fRRZ2dctT.png
610892,136217,Bandai Namco Arts,JP,/dBYuplhBgeOsGPQOI0LukWNbFWE.png
8392,10342,Studio Ghibli,JP,/uFuxPEZRUcBTEiYIxjHJq62Vr77.png
8392,12516,Nibariki,JP,
8392,1779,Tokuma Shoten,JP,/41nGzTdCnORYZIZzaGZtfsBwQCl.png
663558,123270,bilibili,CN,/4KxfGr13VXMr44og11hzpdwfQDQ.png
663558,69484,Alibaba Pictures Group,CN,/2xtmvbEse87LM7OJXVksv7DToZx.png
663558,67089,Light Chaser Animation Studios,CN,/1wnxolUB5NHZARmeeZjVXKpGKaI.png
640344,12923,Warner Bros Pictures Italia,IT,/zhD3hhtKB5qyv7ZeL4uLpNxgMVU.png
640344,124339,Me contro Te,,/2BRGgfgM7ZbVCD97N2CEh0AhTn9.png
640344,2534,Colorado Film,IT,/6aizJC0RRO5oprJMYf2PBAB7lyZ.png
532067,11884,J.C.STAFF,JP,/tHzHPSKdmLT5zCdqFbcmHzZvRIc.png
532067,2073,KADOKAWA,JP,/tWxRSaKmRJNTcmtlXsmn5R4KOSU.png
532067,36342,Sammy,JP,/3xYrMZn6SrupK4R83EUgNPjzqj4.png
532067,13066,Nippon Columbia,JP,/2fgqTGBeaKaGer4vDUXmYaUIR5o.png
532067,648,Sony Music Entertainment (Japan),JP,/s811As3dkcqSgl4nEWEVYfJVVxh.png
532067,85401,MAGES.,JP,/80JSFPNHVfLGEjYmIUv85WiMiFi.png
532067,157001,KADOKAWA Media House,JP,/vDBycpPRLKBf7T0RQbQtU49BQO6.png
532067,104444,81 Produce,JP,/oMPR1Xy6FE9Vlr1yWfbeRD1fAfP.png
532067,165700,Toranoana,JP,/vec1PZPimQg3U8n6I2TKo2uYoOd.png
518068,7819,Lotte Entertainment,KR,/ghFZAt4edln0M7BzDExyYMzUGX1.png
518068,103323,Dexter Studios,KR,/6erRU1smLcM353NKVldsYyAFh56.png
518068,3655,Realies Pictures,KR,/bAn1qaqJRWwlTjzu3Ks6u3LrdMJ.png
518068,88607,Union Investment Partners,KR,
518068,36270,Korean Film Council,KR,/diDSz5VPxV5AAYaDg1Ih8jJpCdu.png
518068,183190,Art Service,KR,/rxamZv0TDERmxRWj4cJADRcNs0v.png
518068,86767,Alpha Pictures,HK,
638507,521,DreamWorks Animation,US,/3BPX5VGBov8SDqTV7wC1L1xShAS.png
397567,7819,Lotte Entertainment,KR,/ghFZAt4edln0M7BzDExyYMzUGX1.png
397567,103323,Dexter Studios,KR,/6erRU1smLcM353NKVldsYyAFh56.png
397567,3655,Realies Pictures,KR,/bAn1qaqJRWwlTjzu3Ks6u3LrdMJ.png
397567,36270,Korean Film Council,KR,/diDSz5VPxV5AAYaDg1Ih8jJpCdu.png
397567,86767,Alpha Pictures,HK,
397567,119446,kth,KR,/OtKHwFyTlm5XUFMrWakECpve7T.png
397567,88607,Union Investment Partners,KR,
803796,2251,Sony Pictures Animation,US,/5ilV5mH3gxTEU7p5wjxptHvXkyr.png
555604,6254,The Jim Henson Company,US,/dHfP8fUyykmTsMXbtXO0kSsYz5E.png
555604,81667,ShadowMachine,US,/Am06MBFNH0OLe3m5MEhdyIFeYWh.png
555604,101082,Double Dare You,US,/zjAYU6sUmYaeFeJ1yWeaqzsWAz8.png
14696,880,Daiei Film,JP,/vwhPRAZ4lhUtSuaifk4Au2MIm92.png
673,174,Warner Bros. Pictures,US,/zhD3hhtKB5qyv7ZeL4uLpNxgMVU.png
673,436,1492 Pictures,US,/A7WCkG3F0NFvjGCwUnclpGdIu9E.png
673,437,Heyday Films,GB,/nu20mtwbEIhUNnQ5NXVhHsNknZj.png
673,19092,P of A Productions,GB,
110416,23948,Cartoon Saloon,IE,/uneZYGxTZcwAzmPTTaefmDNWPzN.png
110416,13351,Melusine Productions,LU,/3cHYz3iUqBAnQfPh8LQnEaWSh1w.png
110416,113785,The Big Farm,BE,
110416,63540,Superprod Animation,FR,/7xQ00vsbxc8qZeeOeam3teObjfU.png
110416,129661,Nørlum,DK,/vKKrIpdcub1JwKftR7emPcpN44X.png
110416,1898,Fís Éireann/Screen Ireland,IE,/8ix6SGlJiyuUDxLBtY8E0PY2G7w.png
110416,69191,Magellan Films,BE,/tXC0kJ9jBhTpM7N8GZkNfCqyIzn.png
140420,2,Walt Disney Pictures,US,/wdrCwmRnLFJhEoH8GSfymY85KHT.png
140420,6125,Walt Disney Animation Studios,US,/8bH86UPmMP8hlITzXV3XgV9eaAc.png
568160,3756,CoMix Wave Films,JP,/t38uPdbKmyBB8brKKeTFWIwojRz.png
568160,128616,Story,JP,/cjmwexOzetWZa8QKy447NMrM6MG.png
568160,882,TOHO,JP,/fRSWWjquvzcHjACbtF53utZFIll.png
568160,2073,KADOKAWA,JP,/tWxRSaKmRJNTcmtlXsmn5R4KOSU.png
568160,8157,jeki,JP,/pEqcMX1aG3JvtDgfh2wNZJLCcb4.png
568160,104184,Lawson Entertainment,JP,/reEBh8dBl2y1DbXe2EdgxtMtaim.png
568160,145448,"""Weathering With You"" Film Partners",JP,
10515,10342,Studio Ghibli,JP,/uFuxPEZRUcBTEiYIxjHJq62Vr77.png
10515,12516,Nibariki,JP,
10515,1779,Tokuma Shoten,JP,/41nGzTdCnORYZIZzaGZtfsBwQCl.png
81,29,Topcraft,JP,/2ZGkaLO1oVR39zxtQca8iDaU7fR.png
81,1779,Tokuma Shoten,JP,/41nGzTdCnORYZIZzaGZtfsBwQCl.png
81,13411,Hakuhodo,JP,/5pzxTy7lWRCiruCNzwqtIYB3N43.png
29264,44698,Producciones Gustavo Alatriste,,
726684,79650,ZAG Entertainment,FR,/bUAfLFkb0xhmY5UsO7cWvo8Pt6A.png
726684,35136,Method Animation,FR,/lhGOKiuEls3KiWigu1hbvrqUP68.png
726684,79175,SAMG Entertainment,KR,/e3uLvwItKgTfzfwansI0ZjtN45N.png
726684,22123,TF1,FR,/zPTy6QDAlCKGeAALZoFEL3QAlut.png
726684,118295,Gloob,BR,/gQyZpZtbd0wV1lFI84G6Sa2th7T.png
726684,20498,Télé-Québec,CA,/f1IuC7TbBHlNHybw2TZn5R1p4sx.png
726684,200505,Norman Studio,FR,
726684,200506,Gravity Animation,CN,
726684,103374,The Walt Disney Company EMEA,GB,/ApbzfacgrUSGF3r4MUfbnjeso9L.png
1087192,521,DreamWorks Animation,US,/3BPX5VGBov8SDqTV7wC1L1xShAS.png
1087192,2527,Marc Platt Productions,US,/mNSqvPrlkAcdQlEZ3Ttmx75Z8Xw.png
315465,6755,Nippon Television Network Corporation,JP,/bWiM2iY82B32NGmPCOFatgfekIR.png
315465,15662,Studio Chizu,JP,/onTO8FymA6J6puYznAjZDsXvHYf.png
315465,882,TOHO,JP,/fRSWWjquvzcHjACbtF53utZFIll.png
315465,11725,VAP,JP,/3OZxd70DZ1LbVelmZK8mR5FIXxO.png
315465,1778,dentsu,JP,/b5rT6VbYza3LyfltCmz1OcqzWJM.png
315465,11727,Yomiuri Telecasting Corporation,JP,/cIMyE9cw1W4kMFGxmC17HKTnVz9.png
315465,14789,D.N. Dream Partners,JP,/dThbJAnUAeQCANrj3kV7RGnLM7R.png
315465,78956,Sapporo Television Broadcasting Company,JP,/rI2oiwZKzD4sTVfDgRvLJwWK1Qe.png
315465,11723,Miyagi Television Broadcasting,JP,/2pAs8G6yRArSEcZ3VA6bRyVl0uJ.png
315465,11724,Shizuoka Daiichi Television,JP,/tFePbc4dqJzcUaHeKAQkhRgT5zJ.png
315465,11722,Hiroshima Telecasting,JP,/4OpeDJ8jzPeaSiOlzGCnHjm6tpt.png
315465,11720,Fukuoka Broadcasting System,JP,/3LCoBMbwUQcKqum0VDa66fJ969e.png
