movie_id,title,release_date,rating,popularity,release_year,genres,category
9312,Mortal Kombat,1995-08-18,5.9,8.3661,1995,"Action, Fantasy",Sword and Sorcery
9070,Mighty Morphin Power Rangers: The Movie,1995-06-30,5.9,5.5081,1995,"Action, Adventure, Sci-Fi, Fantasy",Sword and Sorcery
81005,Jack the Giant Slayer,2013-02-27,5.9,10.6479,2013,"Fantasy, Action, Adventure, Drama",Sword and Sorcery
238215,The Cobbler,2014-09-11,5.9,3.1826,2014,"Fantasy, Comedy, Drama",Fantasy Epic
49524,R.I.P.D.,2013-07-18,5.9,7.432,2013,"Fantasy, Action, Comedy",Sword and Sorcery
38321,Priest,2011-05-05,5.9,9.863,2011,"Action, Fantasy, Horror",Dark Fantasy
4442,The Brothers Grimm,2005-08-26,5.8,6.9425,2005,"Adventure, Fantasy, Action, Comedy, Thriller",Dark Fantasy
24418,Cirque du Freak: The Vampire's Assistant,2009-10-23,5.8,6.949,2009,"Adventure, Fantasy, Action, Thriller",Dark Fantasy
9678,Little Nicky,2000-11-10,5.8,7.1478,2000,"Comedy, Fantasy",Fantasy Epic
9824,Mystery Men,1999-08-06,5.8,5.671,1999,"Adventure, Fantasy, Action, Comedy, Sci-Fi",Sword and Sorcery
6477,Alvin and the Chipmunks,2007-12-13,5.8,9.7152,2007,"Comedy, Family, Fantasy, Animation",Fairy Tale
11451,Herbie Fully Loaded,2005-06-19,5.8,6.9386,2005,"Comedy, Family, Adventure, Fantasy, Romance",Fantasy Epic
957452,The Crow,2024-08-21,5.8,8.0635,2024,"Action, Fantasy, Horror",Dark Fantasy
9304,Multiplicity,1996-07-19,5.8,3.9653,1996,"Comedy, Fantasy, Sci-Fi, Romance",Fantasy Epic
322240,Nine Lives,2016-08-03,5.8,5.1481,2016,"Fantasy, Comedy, Family",Fantasy Epic
46261,Don't Be Afraid of the Dark,2010-11-06,5.8,5.8018,2010,"Fantasy, Horror, Thriller",Dark Fantasy
9738,Fantastic Four,2005-06-29,5.8,10.1561,2005,"Action, Fantasy, Sci-Fi",Sword and Sorcery
13836,Race to Witch Mountain,2009-03-13,5.8,3.4951,2009,"Adventure, Family, Fantasy, Sci-Fi, Thriller, Action",Dark Fantasy
353491,The Dark Tower,2017-08-03,5.8,4.6184,2017,"Fantasy, Action, Sci-Fi",Sword and Sorcery
34636,The NeverEnding Story II: The Next Chapter,1990-10-25,5.8,2.7272,1990,"Family, Fantasy, Adventure, Drama",Fantasy Epic
42949,Arthur 3: The War of the Two Worlds,2010-08-22,5.8,2.3816,2010,"Animation, Adventure, Fantasy, Family",Fairy Tale
9906,The Ant Bully,2006-07-28,5.8,4.0783,2006,"Fantasy, Adventure, Animation, Comedy, Family",Fairy Tale
45650,The Hole,2009-09-12,5.8,1.9735,2009,"Thriller, Adventure, Fantasy",Dark Fantasy
72331,Abraham Lincoln: Vampire Hunter,2012-06-20,5.8,4.8039,2012,"Action, Fantasy, Horror",Dark Fantasy
539537,Fantasy Island,2020-02-12,5.8,2.7974,2020,"Adventure, Fantasy, Horror",Dark Fantasy
224141,Into the Woods,2014-12-24,5.8,3.9256,2014,"Fantasy, Comedy",Fantasy Epic
41513,The Smurfs,2011-07-29,5.8,5.7616,2011,"Animation, Family, Adventure, Comedy, Fantasy",Fairy Tale
57165,Wrath of the Titans,2012-03-28,5.8,5.0769,2012,"Fantasy, Adventure, Action",Sword and Sorcery
370567,Sherlock Gnomes,2018-03-15,5.8,3.3865,2018,"Animation, Family, Fantasy, Comedy, Adventure",Fairy Tale
1996,Lara Croft: Tomb Raider - The Cradle of Life,2003-07-21,5.8,5.1213,2003,"Adventure, Action, Fantasy",Sword and Sorcery
223702,Sausage Party,2016-07-11,5.8,6.5025,2016,"Adventure, Animation, Comedy, Fantasy",Fantasy Epic
77931,The Smurfs 2,2013-07-30,5.8,4.4936,2013,"Fantasy, Family, Comedy, Animation",Fairy Tale
10599,Pinocchio,2002-10-11,5.8,2.4008,2002,"Comedy, Family, Fantasy",Fantasy Epic
26505,Arthur and the Revenge of Maltazard,2009-11-26,5.7,2.9873,2009,"Adventure, Fantasy, Animation, Family",Fairy Tale
440597,Wish Upon,2017-07-07,5.7,3.1091,2017,"Horror, Thriller, Fantasy",Dark Fantasy
11649,Masters of the Universe,1987-08-07,5.7,4.0734,1987,"Action, Fantasy, Sci-Fi, Adventure, Thriller",Dark Fantasy
312831,The Hallow,2015-11-06,5.7,1.9286,2015,"Horror, Fantasy",Dark Fantasy
3050,Doctor Dolittle,1998-06-26,5.7,4.6142,1998,"Comedy, Family, Fantasy",Fantasy Epic
2928,Michael,1996-12-25,5.7,3.103,1996,"Comedy, Drama, Fantasy",Fantasy Epic
55301,Alvin and the Chipmunks: Chipwrecked,2011-12-14,5.7,6.395,2011,"Comedy, Fantasy, Family, Animation",Fairy Tale
167810,Lost River,2015-04-08,5.7,2.4654,2015,"Drama, Fantasy, Thriller",Dark Fantasy
20856,Aliens in the Attic,2009-07-30,5.7,3.0917,2009,"Adventure, Comedy, Family, Fantasy, Sci-Fi",Fantasy Epic
205584,Gods of Egypt,2016-02-25,5.7,7.7566,2016,"Action, Adventure, Fantasy",Sword and Sorcery
10756,The Haunted Mansion,2003-11-26,5.7,3.6194,2003,"Thriller, Fantasy, Comedy, Family",Dark Fantasy
23398,Alvin and the Chipmunks: The Squeakquel,2009-12-21,5.7,6.5348,2009,"Comedy, Family, Animation, Fantasy",Fairy Tale
